id,calcium,calory,carbohydrate,cholesterol,code,copper,fat,fiber_dietary,health_light,iodine,iron,is_liquid,kalium,lactoflavin,magnesium,manganese,name,natrium,niacin,protein,selenium,thiamine,thumb_image_url,vitamin_a,vitamin_c,vitamin_e,weight,zinc,category
18286,118,92,13.3,,mengniusuanniunai_caomeishumeiguoli,0,3,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£ ËáÅ£ÄÌ£¨²ÝÝ®+Ê÷Ý®£©100g £¨Ð¡ºÐ×°£©,,0.2,2.9,1.7,0,http://s.boohee.cn/house/upload_food/2008/12/26/66761_1230257478mid.jpg,26,1,0.1,100,0.5,6
18295,,542,40.6,,haodaibaimengduokali,,39.1,0,3,,,FALSE,,,,,ºÃÊÌ°ÙÃÎ¶à¿§à¬,,,6.7,,,http://s.boohee.cn/house/upload_food/2008/12/28/165168_1230394229mid.jpg,,,,100,,9
18300,118,85,11.3,,mengniuLABSyishengjunyoulaoruyuanwei,0,3.1,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£LABSÒæÉú¾úÓÅÀÒÈéÔ­Î¶,,0.2,2.9,1.7,0,http://s.boohee.cn/house/upload_food/2008/12/29/105556_1230523580mid.jpg,26,1,0.1,100,0.5,6
18325,,814,0,,ouliweilantejichuzhaganlanyou,,92,0,2,,,FALSE,,,,,Å·ÀöÞ±À¼ÌØ¼¶³õÕ¥éÏé­ÓÍ,,,0,,,http://s.boohee.cn/house/upload_food/2009/1/1/112882_1230789295mid.jpg,,,,100,,7
18328,118,85,11.3,,mengniuLABSyishengjunyoulaoru_xiangjiaowei,0,3.1,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£LABSÒæÉú¾úÓÅÀÒÈé£¨Ïã½¶Î¶£©,,0.2,2.9,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/7/66761_1231299530mid.jpg,26,1,0.1,100,0.5,6
18331,,325,80,,jinheyuzhizaofanggongtingzao,,0,5,2,,,FALSE,,,,,½úºÌ ÓùÖÆÔæ·»¹¬Í¢Ôæ,63,,0,,,http://s.boohee.cn/house/upload_food/2008/12/29/104059_1230549042mid.jpg,,,,100,,11
18340,22,465,73.6,,nanguopaisurongyezifen,,18,0.3,2,,13,FALSE,,,330,,ÄÏ¹úÅÆËÙÈÜÒ¬×Ó·Û,,,2.5,,82,http://s.boohee.cn/house/upload_food/2008/12/31/129068_1230711543mid.jpg,36,60,,100,0.5,10
18357,,91,9,,guiguanshuashuaxieroubang,,1,0,1,,,FALSE,,,,,¹ð¹ÚäÌäÌÐ·Èâ°ô,,,11,,,http://s.boohee.cn/house/upload_food/2009/1/3/112882_1230961287mid.jpg,,,,100,,2
18368,,390,95,,tianfumingchahongchatang,,1,0,1,,,FALSE,,,,,Ìì¸£Üø²èºì²è²èÌÇ,,,0,,,http://s.boohee.cn/house/upload_food/2009/1/7/66761_1231299881mid.jpg,,,,100,,9
18370,118,92,14,,yilidaguolisuanniunai,0,2.8,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÒÁÀû ´ó¹ûÁ£ËáÅ£ÄÌ£¨ºì²è+²ÝÝ®+Ò¬¹û£©,,0.2,2.5,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/8/105556_1231401145mid.jpg,26,1,0.1,100,0.5,6
18371,,50,12.2,,weiquanmeirihaoshuhaoguoputaoguoshuhunhezhi,,0,0,2,,,TRUE,,,,,Î¶È«Ã¿ÈÕºÃÊßºÃ¹ûÆÏÌÑ¹ûÊß»ìºÏÖ­,17,,0,,,http://s.boohee.cn/house/upload_food/2009/1/9/189569_1231463625mid.jpg,,,,100,,10
18374,,260,60,,dantepaifengmiyouzicha,,0,0,3,,,FALSE,,,,,µ¤ÌØÅÆ·äÃÛèÖ×Ó²è,,,0,,,http://s.boohee.cn/house/upload_food/2009/1/11/192215_1231665891mid.jpg,,,,100,,10
18381,,53,12.9,,weiquanmeiripingguozhi,,0,0,2,,,TRUE,,,,,Î¶È«Ã¿ÈÕÆ»¹ûÖ­,18,,0,,,http://s.boohee.cn/house/upload_food/2009/1/9/189569_1231463460.jpg,,,,100,,10
18383,,76,15,,yiliguwunaihiguliduohi_oufengmaixiang,,2.5,0,2,,,FALSE,,,,,ÒÁÀû¹ÈÎïÄÌ¡°¹ÈÁ£¶à¡±£¨Å··çÂóÏã£©,,,2.3,,,http://s.boohee.cn/house/upload_food/2009/1/9/191334_1231475975mid.jpg,,,,100,,6
18384,118,85,11.3,,mengniuyishengjunsuanniunai,0,3.1,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£Ô­Î¶ËáÅ£ÄÌ,,0.2,2.9,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/10/193362_1231569921mid.jpg,26,1,0.1,100,0.5,6
18395,88,63,6.9,,mengniuyuanweiplainsuanniunai,0,2.8,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£Ô­Î¶plainËáÅ£ÄÌ,60,0.2,2.6,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/9/47863_1231478912mid.jpg,26,1,0.1,100,0.5,6
18416,,53,8.5,1,weitanai_maixiang,,1.3,0,1,,,TRUE,,0.1,,,Î¬ËûÄÌ£¨ÂóÏã£©,49,1.1,1.8,,,http://s.boohee.cn/house/upload_food/2009/1/15/180856_1232033563mid.jpg,,,,100,,10
18441,,884,0,0,jinlongyushiyongdiaoheyou,,100,0,2,,,FALSE,,,,,½ðÁúÓãÊ³ÓÃµ÷ºÍÓÍ,0,,0,,,http://s.boohee.cn/house/food_mid/mid_photo_201034914118441.jpg,,,,100,,7
18447,,53,8,,youyounaichafengminaichayinliao_yuanwei,,1.6,0,2,,,TRUE,,,,,ßÏßÏÄÌ²è·äÃÛÄÌ²èÒûÁÏ£¨Ô­Î¶£©,,,0.6,,,http://s.boohee.cn/house/upload_food/2009/1/18/108212_1232253408mid.jpg,,,,100,,10
18450,118,82,11.5,,kashixianlaoru,0,3,0,1,0.9,0.4,FALSE,150,0.2,12,0,¿¨Ê¿ ÏÊÀÒÈéµ÷Î¶ËáÅ£Èé£¨Ô­Î¶£©,100,0.2,2.8,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/19/119027_1232335452mid.jpg,26,1,0.1,100,0.5,6
18462,,175,4.1,,kafufeichengqingdannailao,,13.9,0,2,,,FALSE,,,,,¿¨·ò·Ñ³ÇÇåµ­ÄÌÀÒ,,,8,,,http://s.boohee.cn/house/upload_food/2009/1/21/192215_1232510506mid.jpg,,,,100,,6
18481,180,44,5,,tianyuanpaituozhiniunai,0,0.2,0,1,1.9,0.3,TRUE,109,0.1,11,0,ÌïÔ°ÅÆ ÍÑÖ¬Å£ÄÌ,45,0.1,5.4,1.9,0,http://s.boohee.cn/house/upload_food/2009/1/23/186670_1232685762mid.jpg,24,1,0.2,100,0.3,6
18513,,546,58.9,,danmailanguanquqi,,31.6,2,3,,,FALSE,,,,,µ¤ÂóÀ¶¹ÞÇúÆæ,,,6.5,,,http://s.boohee.cn/house/upload_food/2009/1/29/202991_1233160136mid.jpg,,,,100,,11
18524,,91,9,,shuashuaxieroubang,,1,0,1,,,FALSE,,,,,äÌäÌÐ·Èâ°ô,,,11,,,http://s.boohee.cn/house/upload_food/2009/1/30/199927_1233282232.jpg,,,,100,,2
18525,33,512,55.6,500,bolihaitaipian,,30.6,0.9,3,4323,3.9,FALSE,,,,,²¨Àûº£Ì¦Æ¬,333,,8.3,,,http://s.boohee.cn/house/upload_food/2009/1/30/201806_1233314719mid.jpg,155.6,0,,100,,4
18528,,50,7,,zhengzongyeshupaiyezhi,,2,0,2,,,TRUE,,,,,Õý×ÚÒ¬Ê÷ÅÆ Ò¬Ö­,10,,0.6,,,http://s.boohee.cn/house/upload_food/2014/2/7/2071776_1391769276mid.jpg,,,,100,,10
